Country or region,Rank,Score,GDP,Health,year,States
Finland,1,7.769,1.34,0.986,2019,EUROPE
Denmark,2,7.6,1.383,0.996,2019,EUROPE
Norway,3,7.554,1.488,1.028,2019,EUROPE
Iceland,4,7.494,1.38,1.026,2019,EUROPE
Netherlands,5,7.488,1.396,0.999,2019,EUROPE
Switzerland,6,7.48,1.452,1.052,2019,EUROPE
Sweden,7,7.343,1.387,1.009,2019,EUROPE
New Zealand,8,7.307,1.303,1.026,2019,OCEANIA
Canada,9,7.278,1.365,1.039,2019,NORTH AMERICA
Austria,10,7.246,1.376,1.016,2019,EUROPE
Australia,11,7.228,1.372,1.036,2019,OCEANIA
Costa Rica,12,7.167,1.034,0.963,2019,NORTH AMERICA
Israel,13,7.139,1.276,1.029,2019,ASIA
Luxembourg,14,7.09,1.609,1.012,2019,ASIA
United Kingdom,15,7.054,1.333,0.996,2019,EUROPE
Ireland,16,7.021,1.499,0.999,2019,EUROPE
Germany,17,6.985,1.373,0.987,2019,EUROPE
Belgium,18,6.923,1.356,0.986,2019,EUROPE
United States,19,6.892,1.433,0.874,2019,NORTH AMERICA
Czech Republic,20,6.852,1.269,0.92,2019,EUROPE
United Arab Emirates,21,6.825,1.503,0.825,2019,ASIA
Malta,22,6.726,1.3,0.999,2019,EUROPE
Mexico,23,6.595,1.07,0.861,2019,NORTH AMERICA
France,24,6.592,1.324,1.045,2019,EUROPE
Taiwan Province of China,25,6.446,1.368,0.914,2019,ASIA
Chile,26,6.444,1.159,0.92,2019,SOUTH AMERICA
Guatemala,27,6.436,0.8,0.746,2019,NORTH AMERICA
Saudi Arabia,28,6.375,1.403,0.795,2019,ASIA
Qatar,29,6.374,1.684,0.871,2019,ASIA
Spain,30,6.354,1.286,1.062,2019,EUROPE
Panama,31,6.321,1.149,0.91,2019,NORTH AMERICA
Brazil,32,6.3,1.004,0.802,2019,SOUTH AMERICA
Uruguay,33,6.293,1.124,0.891,2019,SOUTH AMERICA
Singapore,34,6.262,1.572,1.141,2019,ASIA
El Salvador,35,6.253,0.794,0.789,2019,NORTH AMERICA
Italy,36,6.223,1.294,1.039,2019,EUROPE
Bahrain,37,6.199,1.362,0.871,2019,ASIA
Slovakia,38,6.198,1.246,0.881,2019,EUROPE
Trinidad & Tobago,39,6.192,1.231,0.713,2019,NORTH AMERICA
Poland,40,6.182,1.206,0.884,2019,EUROPE
Uzbekistan,41,6.174,0.745,0.756,2019,ASIA
Lithuania,42,6.149,1.238,0.818,2019,EUROPE
Colombia,43,6.125,0.985,0.841,2019,SOUTH AMERICA
Slovenia,44,6.118,1.258,0.953,2019,EUROPE
Nicaragua,45,6.105,0.694,0.835,2019,NORTH AMERICA
Kosovo,46,6.1,0.882,0.758,2019,EUROPE
Argentina,47,6.086,1.092,0.881,2019,SOUTH AMERICA
Romania,48,6.07,1.162,0.825,2019,EUROPE
Cyprus,49,6.046,1.263,1.042,2019,ASIA
Ecuador,50,6.028,0.912,0.868,2019,SOUTH AMERICA
Kuwait,51,6.021,1.5,0.808,2019,ASIA
Thailand,52,6.008,1.05,0.828,2019,ASIA
Latvia,53,5.94,1.187,0.812,2019,EUROPE
South Korea,54,5.895,1.301,1.036,2019,ASIA
Estonia,55,5.893,1.237,0.874,2019,EUROPE
Jamaica,56,5.89,0.831,0.831,2019,NORTH AMERICA
Mauritius,57,5.888,1.12,0.798,2019,AFRICA
Japan,58,5.886,1.327,1.088,2019,ASIA
Honduras,59,5.86,0.642,0.828,2019,NORTH AMERICA
Kazakhstan,60,5.809,1.173,0.729,2019,ASIA
Bolivia,61,5.779,0.776,0.706,2019,SOUTH AMERICA
Hungary,62,5.758,1.201,0.828,2019,EUROPE
Paraguay,63,5.743,0.855,0.777,2019,SOUTH AMERICA
Northern Cyprus,64,5.718,1.263,1.042,2019,EUROPE
Peru,65,5.697,0.96,0.854,2019,SOUTH AMERICA
Portugal,66,5.693,1.221,0.999,2019,EUROPE
Pakistan,67,5.653,0.677,0.535,2019,ASIA
Russia,68,5.648,1.183,0.726,2019,EUROPE
Philippines,69,5.631,0.807,0.657,2019,ASIA
Serbia,70,5.603,1.004,0.854,2019,EUROPE
Moldova,71,5.529,0.685,0.739,2019,EUROPE
Libya,72,5.525,1.044,0.673,2019,AFRICA
Montenegro,73,5.523,1.051,0.871,2019,EUROPE
Tajikistan,74,5.467,0.493,0.718,2019,ASIA
Croatia,75,5.432,1.155,0.914,2019,EUROPE
Hong Kong,76,5.43,1.438,1.122,2019,ASIA
Dominican Republic,77,5.425,1.015,0.779,2019,NORTH AMERICA
Bosnia and Herzegovina,78,5.386,0.945,0.845,2019,EUROPE
Turkey,79,5.373,1.183,0.808,2019,ASIA
Malaysia,80,5.339,1.221,0.828,2019,ASIA
Belarus,81,5.323,1.067,0.789,2019,EUROPE
Greece,82,5.287,1.181,0.999,2019,EUROPE
Mongolia,83,5.285,0.948,0.667,2019,ASIA
North Macedonia,84,5.274,0.983,0.838,2019,EUROPE
Nigeria,85,5.265,0.696,0.245,2019,AFRICA
Kyrgyzstan,86,5.261,0.551,0.723,2019,ASIA
Turkmenistan,87,5.247,1.052,0.657,2019,ASIA
Algeria,88,5.211,1.002,0.785,2019,AFRICA
Morocco,89,5.208,0.801,0.782,2019,AFRICA
Azerbaijan,90,5.208,1.043,0.769,2019,ASIA
Lebanon,91,5.197,0.987,0.815,2019,ASIA
Indonesia,92,5.192,0.931,0.66,2019,ASIA
China,93,5.191,1.029,0.893,2019,ASIA
Vietnam,94,5.175,0.741,0.851,2019,ASIA
Bhutan,95,5.082,0.813,0.604,2019,ASIA
Cameroon,96,5.044,0.549,0.331,2019,AFRICA
Bulgaria,97,5.011,1.092,0.815,2019,EUROPE
Ghana,98,4.996,0.611,0.486,2019,AFRICA
Ivory Coast,99,4.944,0.569,0.232,2019,AFRICA
Nepal,100,4.913,0.446,0.677,2019,ASIA
Jordan,101,4.906,0.837,0.815,2019,ASIA
Benin,102,4.883,0.393,0.397,2019,AFRICA
Congo,103,4.812,0.673,0.508,2019,AFRICA
Gabon,104,4.799,1.057,0.571,2019,AFRICA
Laos,105,4.796,0.764,0.551,2019,ASIA
South Africa,106,4.722,0.96,0.469,2019,AFRICA
Albania,107,4.719,0.947,0.874,2019,ASIA
Venezuela,108,4.707,0.96,0.805,2019,SOUTH AMERICA
Cambodia,109,4.7,0.574,0.637,2019,ASIA
Palestinian Territories,110,4.696,0.657,0.672,2019,AFRICA
Senegal,111,4.681,0.45,0.571,2019,AFRICA
Somalia,112,4.668,0.0,0.268,2019,AFRICA
Namibia,113,4.639,0.879,0.477,2019,AFRICA
Niger,114,4.628,0.138,0.366,2019,AFRICA
Burkina Faso,115,4.587,0.331,0.38,2019,AFRICA
Armenia,116,4.559,0.85,0.815,2019,ASIA
Iran,117,4.548,1.1,0.785,2019,ASIA
Guinea,118,4.534,0.38,0.375,2019,AFRICA
Georgia,119,4.519,0.886,0.752,2019,EUROPE
Gambia,120,4.516,0.308,0.428,2019,AFRICA
Gambia,120,4.516,0.308,0.428,2019,AFRICA
Kenya,121,4.509,0.512,0.581,2019,AFRICA
Mauritania,122,4.49,0.57,0.489,2019,AFRICA
Mozambique,123,4.466,0.204,0.39,2019,AFRICA
Tunisia,124,4.461,0.921,0.815,2019,AFRICA
Bangladesh,125,4.456,0.562,0.723,2019,ASIA
Iraq,126,4.437,1.043,0.574,2019,ASIA
Dem. Rep. Congo,127,4.418,0.094,0.357,2019,AFRICA
Mali,128,4.39,0.385,0.308,2019,AFRICA
Sierra Leone,129,4.374,0.268,0.242,2019,AFRICA
Sri Lanka,130,4.366,0.949,0.831,2019,ASIA
Myanmar,131,4.36,0.71,0.555,2019,ASIA
Chad,132,4.35,0.35,0.192,2019,AFRICA
Ukraine,133,4.332,0.82,0.739,2019,EUROPE
Ethiopia,134,4.286,0.336,0.532,2019,AFRICA
Swaziland,135,4.212,0.811,0.0,2019,AFRICA
Uganda,136,4.189,0.332,0.443,2019,AFRICA
Egypt,137,4.166,0.913,0.644,2019,AFRICA
Zambia,138,4.107,0.578,0.426,2019,AFRICA
Togo,139,4.085,0.275,0.41,2019,AFRICA
India,140,4.015,0.755,0.588,2019,ASIA
Liberia,141,3.975,0.073,0.443,2019,AFRICA
Comoros,142,3.973,0.274,0.505,2019,AFRICA
Madagascar,143,3.933,0.274,0.555,2019,AFRICA
Lesotho,144,3.802,0.489,0.168,2019,AFRICA
Burundi,145,3.775,0.046,0.38,2019,AFRICA
Zimbabwe,146,3.663,0.366,0.433,2019,AFRICA
Haiti,147,3.597,0.323,0.449,2019,NORTH AMERICA
Botswana,148,3.488,1.041,0.538,2019,AFRICA
Syria,149,3.462,0.619,0.44,2019,ASIA
Malawi,150,3.41,0.191,0.495,2019,AFRICA
Yemen,151,3.38,0.287,0.463,2019,ASIA
Rwanda,152,3.334,0.359,0.614,2019,AFRICA
Tanzania,153,3.231,0.476,0.499,2019,AFRICA
Afghanistan,154,3.203,0.35,0.361,2019,ASIA
Central African Republic,155,3.083,0.026,0.105,2019,AFRICA
South Sudan,156,2.853,0.306,0.295,2019,AFRICA
Finland,1,7.632,1.305,0.874,2018,EUROPE
Norway,2,7.594,1.456,0.861,2018,EUROPE
Denmark,3,7.555,1.351,0.868,2018,EUROPE
Iceland,4,7.495,1.343,0.914,2018,EUROPE
Switzerland,5,7.487,1.42,0.927,2018,EUROPE
Netherlands,6,7.441,1.361,0.878,2018,EUROPE
Canada,7,7.328,1.33,0.896,2018,NORTH AMERICA
New Zealand,8,7.324,1.268,0.876,2018,OCEANIA
Sweden,9,7.314,1.355,0.913,2018,EUROPE
Australia,10,7.272,1.34,0.91,2018,OCEANIA
United Kingdom,11,7.19,1.244,0.888,2018,EUROPE
Austria,12,7.139,1.341,0.891,2018,EUROPE
Costa Rica,13,7.072,1.01,0.817,2018,NORTH AMERICA
Ireland,14,6.977,1.448,0.876,2018,EUROPE
Germany,15,6.965,1.34,0.861,2018,EUROPE
Belgium,16,6.927,1.324,0.894,2018,EUROPE
Luxembourg,17,6.91,1.576,0.896,2018,ASIA
United States,18,6.886,1.398,0.819,2018,NORTH AMERICA
Israel,19,6.814,1.301,0.883,2018,ASIA
United Arab Emirates,20,6.774,2.096,0.67,2018,ASIA
Czech Republic,21,6.711,1.233,0.854,2018,EUROPE
Malta,22,6.627,1.27,0.884,2018,EUROPE
France,23,6.489,1.293,0.908,2018,EUROPE
Mexico,24,6.488,1.038,0.761,2018,NORTH AMERICA
Chile,25,6.476,1.131,0.808,2018,SOUTH AMERICA
Taiwan Province of China,26,6.441,1.365,0.857,2018,ASIA
Panama,27,6.43,1.112,0.759,2018,NORTH AMERICA
Brazil,28,6.419,0.986,0.675,2018,SOUTH AMERICA
Argentina,29,6.388,1.073,0.744,2018,SOUTH AMERICA
Guatemala,30,6.382,0.781,0.608,2018,NORTH AMERICA
Uruguay,31,6.379,1.093,0.771,2018,SOUTH AMERICA
Qatar,32,6.374,1.649,0.748,2018,ASIA
Saudi Arabia,33,6.371,1.379,0.633,2018,ASIA
Singapore,34,6.343,1.529,1.008,2018,ASIA
Malaysia,35,6.322,1.161,0.669,2018,ASIA
Spain,36,6.31,1.251,0.965,2018,EUROPE
Colombia,37,6.26,0.96,0.635,2018,SOUTH AMERICA
Trinidad & Tobago,38,6.192,1.223,0.564,2018,NORTH AMERICA
Slovakia,39,6.173,1.21,0.776,2018,EUROPE
El Salvador,40,6.167,0.806,0.639,2018,NORTH AMERICA
Nicaragua,41,6.141,0.668,0.7,2018,NORTH AMERICA
Poland,42,6.123,1.176,0.781,2018,EUROPE
Bahrain,43,6.105,1.338,0.698,2018,ASIA
Uzbekistan,44,6.096,0.719,0.605,2018,ASIA
Kuwait,45,6.083,1.474,0.675,2018,ASIA
Thailand,46,6.072,1.016,0.707,2018,ASIA
Italy,47,6.0,1.264,0.946,2018,EUROPE
Ecuador,48,5.973,0.889,0.736,2018,SOUTH AMERICA
Belize,49,5.956,0.807,0.474,2018,NORTH AMERICA
Lithuania,50,5.952,1.197,0.716,2018,EUROPE
Slovenia,51,5.948,1.219,0.856,2018,EUROPE
Romania,52,5.945,1.116,0.726,2018,EUROPE
Latvia,53,5.933,1.148,0.671,2018,EUROPE
Japan,54,5.915,1.294,0.988,2018,ASIA
Mauritius,55,5.891,1.09,0.684,2018,AFRICA
Jamaica,56,5.89,0.819,0.693,2018,NORTH AMERICA
South Korea,57,5.875,1.266,0.955,2018,ASIA
Northern Cyprus,58,5.835,1.229,0.909,2018,EUROPE
Russia,59,5.81,1.151,0.599,2018,EUROPE
Kazakhstan,60,5.79,1.143,0.631,2018,ASIA
Cyprus,61,5.762,1.229,0.909,2018,ASIA
Bolivia,62,5.752,0.751,0.508,2018,SOUTH AMERICA
Estonia,63,5.739,1.2,0.737,2018,EUROPE
Paraguay,64,5.681,0.835,0.615,2018,SOUTH AMERICA
Peru,65,5.663,0.934,0.674,2018,SOUTH AMERICA
Kosovo,66,5.662,0.855,0.578,2018,EUROPE
Moldova,67,5.64,0.657,0.62,2018,EUROPE
Turkmenistan,68,5.636,1.016,0.517,2018,ASIA
Hungary,69,5.62,1.171,0.732,2018,EUROPE
Libya,70,5.566,0.985,0.553,2018,AFRICA
Philippines,71,5.524,0.775,0.513,2018,ASIA
Honduras,72,5.504,0.62,0.622,2018,NORTH AMERICA
Belarus,73,5.483,1.039,0.7,2018,EUROPE
Turkey,74,5.483,1.148,0.686,2018,ASIA
Pakistan,75,5.472,0.652,0.424,2018,ASIA
Hong Kong,76,5.43,1.405,1.03,2018,ASIA
Portugal,77,5.41,1.188,0.884,2018,EUROPE
Serbia,78,5.398,0.975,0.685,2018,EUROPE
Greece,79,5.358,1.154,0.879,2018,EUROPE
Lebanon,80,5.358,0.965,0.785,2018,ASIA
Montenegro,81,5.347,1.017,0.729,2018,EUROPE
Croatia,82,5.321,1.115,0.737,2018,EUROPE
Dominican Republic,83,5.302,0.982,0.614,2018,NORTH AMERICA
Algeria,84,5.295,0.979,0.687,2018,AFRICA
Morocco,85,5.254,0.779,0.669,2018,AFRICA
China,86,5.246,0.989,0.799,2018,ASIA
Azerbaijan,87,5.201,1.024,0.603,2018,ASIA
Tajikistan,88,5.199,0.474,0.598,2018,ASIA
Macedonia,89,5.185,0.959,0.691,2018,EUROPE
Jordan,90,5.161,0.822,0.645,2018,ASIA
Nigeria,91,5.155,0.689,0.048,2018,AFRICA
Kyrgyzstan,92,5.131,0.53,0.594,2018,ASIA
Bosnia and Herzegovina,93,5.129,0.915,0.758,2018,EUROPE
Mongolia,94,5.125,0.914,0.575,2018,ASIA
Vietnam,95,5.103,0.715,0.702,2018,ASIA
Indonesia,96,5.093,0.899,0.522,2018,ASIA
Bhutan,97,5.082,0.796,0.527,2018,ASIA
Somalia,98,4.982,0.0,0.115,2018,AFRICA
Cameroon,99,4.975,0.535,0.182,2018,AFRICA
Bulgaria,100,4.933,1.054,0.712,2018,EUROPE
Nepal,101,4.88,0.425,0.539,2018,ASIA
Venezuela,102,4.806,0.996,0.657,2018,SOUTH AMERICA
Gabon,103,4.758,1.036,0.404,2018,AFRICA
Palestinian Territories,104,4.743,0.642,0.602,2018,AFRICA
South Africa,105,4.724,0.94,0.33,2018,AFRICA
Iran,106,4.707,1.059,0.691,2018,ASIA
Ivory Coast,107,4.671,0.541,0.08,2018,AFRICA
Ghana,108,4.657,0.592,0.337,2018,AFRICA
Senegal,109,4.631,0.429,0.433,2018,AFRICA
Laos,110,4.623,0.72,0.441,2018,ASIA
Tunisia,111,4.592,0.9,0.69,2018,AFRICA
Albania,112,4.586,0.916,0.79,2018,ASIA
Sierra Leone,113,4.571,0.256,0.0,2018,AFRICA
Congo,114,4.559,0.682,0.343,2018,AFRICA
Bangladesh,115,4.5,0.532,0.579,2018,ASIA
Sri Lanka,116,4.471,0.918,0.672,2018,ASIA
Iraq,117,4.456,1.01,0.536,2018,ASIA
Mali,118,4.447,0.37,0.152,2018,AFRICA
Namibia,119,4.441,0.874,0.365,2018,AFRICA
Cambodia,120,4.433,0.549,0.457,2018,ASIA
Burkina Faso,121,4.424,0.314,0.254,2018,AFRICA
Egypt,122,4.419,0.885,0.553,2018,AFRICA
Mozambique,123,4.417,0.198,0.173,2018,AFRICA
Kenya,124,4.41,0.493,0.454,2018,AFRICA
Zambia,125,4.377,0.562,0.295,2018,AFRICA
Mauritania,126,4.356,0.557,0.292,2018,AFRICA
